site,theme,subtheme,id,title,data_as_of,data_source,link_csv,link_parquet,has_editions,description
data.gov.my,Prices,Producer Prices,ppi_2d,Monthly PPI by Division (2 digit),2026-06,DOSM,https://storage.dosm.gov.my/ppi/ppi_2d.csv,https://storage.dosm.gov.my/ppi/ppi_2d.parquet,no,Monthly producer price index (PPI) by MSIC division (2 digit). The table provides a preview of the full dataset using the latest month of data only.
data.gov.my,Prices,Producer Prices,ppi_3d,Monthly PPI by Group (3 digit),2026-06,DOSM,https://storage.dosm.gov.my/ppi/ppi_3d.csv,https://storage.dosm.gov.my/ppi/ppi_3d.parquet,no,Monthly producer price index (PPI) by MSIC group (3 digit). The table provides a preview of the full dataset using the latest month of data only.
data.gov.my,Prices,Producer Prices,ppi_sitc,Monthly PPI by SITC Section (1 digit),2026-06,DOSM,https://storage.dosm.gov.my/ppi/ppi_sitc.csv,https://storage.dosm.gov.my/ppi/ppi_sitc.parquet,no,Monthly producer price index (PPI) by SITC section (1 digit).
data.gov.my,Prices,Producer Prices,ppi_sop,Monthly PPI by Stage of Processing,2026-06,DOSM,https://storage.dosm.gov.my/ppi/ppi_sop.csv,https://storage.dosm.gov.my/ppi/ppi_sop.parquet,no,"Monthly producer price index (PPI) by stage of processing, per the SITC classification."
data.gov.my,Prices,Producer Prices,sppi,Headline Services Producer Price Index (SPPI),2026-Q1,DOSM,https://storage.dosm.gov.my/ppi/sppi.csv,https://storage.dosm.gov.my/ppi/sppi.parquet,no,"Headline services producer price index (SPPI), covering 8 key services sub-sectors."
data.gov.my,Prices,Producer Prices,sppi_1d,SPPI by Section (1 digit),2026-Q1,DOSM,https://storage.dosm.gov.my/ppi/sppi_1d.csv,https://storage.dosm.gov.my/ppi/sppi_1d.parquet,no,Services producer price index (SPPI) by MSIC section (1 digit).
data.gov.my,Prices,Producer Prices,sppi_2d,SPPI by Division (2 digits),2026-Q1,DOSM,https://storage.dosm.gov.my/ppi/sppi_2d.csv,https://storage.dosm.gov.my/ppi/sppi_2d.parquet,no,Services producer price index (SPPI) by MSIC division (2 digits).
data.gov.my,Prices,Producer Prices,sppi_3d,SPPI by Group (3 digits),2026-Q1,DOSM,https://storage.dosm.gov.my/ppi/sppi_3d.csv,https://storage.dosm.gov.my/ppi/sppi_3d.parquet,no,Services producer price index (SPPI) by MSIC group (3 digits). The table provides a preview of the full dataset using the most recent 4 quarters of data.
data.gov.my,Prices,Commodity Prices,fuelprice,Price of Petroleum & Diesel,2026-08-13 00:01,MOF,https://storage.data.gov.my/commodities/fuelprice.csv,https://storage.data.gov.my/commodities/fuelprice.parquet,no,"Weekly retail prices of RON95 petrol, RON97 petrol, and diesel in Malaysia."
data.gov.my,Public Administration,Public Finance,federal_finance_qtr,Quarterly Federal Government Finance,2024-Q1,JANM,https://storage.data.gov.my/publicadmin/federal_finance_qtr.csv,https://storage.data.gov.my/publicadmin/federal_finance_qtr.parquet,no,"Quarterly revenue, operating and development expenditure, overall surplus/deficit, and sources of financing for the Federal Government of Malaysia."
data.gov.my,Public Administration,Public Finance,federal_finance_qtr_revenue,Quarterly Federal Government Revenue,2024-Q1,JANM,https://storage.data.gov.my/publicadmin/federal_finance_qtr_revenue.csv,https://storage.data.gov.my/publicadmin/federal_finance_qtr_revenue.parquet,no,"Quarterly Federal Government revenue from direct taxes, indirect taxes, non-tax sources, as well as non-revenue receipts."
data.gov.my,Public Administration,Public Finance,federal_finance_qtr_oe,Quarterly Federal Government Operating Expenditure by Object,2024-Q1,JANM,https://storage.data.gov.my/publicadmin/federal_finance_qtr_oe.csv,https://storage.data.gov.my/publicadmin/federal_finance_qtr_oe.parquet,no,Breakdown of quarterly Federal Government operating expenditure into key categories.
data.gov.my,Public Administration,Public Finance,federal_finance_qtr_de,Quarterly Federal Government Development Expenditure by Function,2024-Q1,JANM,https://storage.data.gov.my/publicadmin/federal_finance_qtr_de.csv,https://storage.data.gov.my/publicadmin/federal_finance_qtr_de.parquet,no,Breakdown of quarterly Federal Government development expenditure by key sectors describing the area of impact of development projects.
