state,year,indicator,value,source,precision
Melaka,2017,domestic_visitors_thousand,12624.9848,DTS 2023 state XLSX (Table 1),exact
Melaka,2018,domestic_visitors_thousand,13122.6042,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2019,domestic_visitors_thousand,13978.9742,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2020,domestic_visitors_thousand,7274.547,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2021,domestic_visitors_thousand,3878.14,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2022,domestic_visitors_thousand,11757.166,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2023,domestic_visitors_thousand,15558.661,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2024,domestic_visitors_thousand,19128.0,DTS 2024 state PDF (Table 1),as printed
Melaka,2017,domestic_trips_thousand,20063.7799,DTS 2023 state XLSX (Table 1),exact
Melaka,2018,domestic_trips_thousand,21654.2933,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2019,domestic_trips_thousand,24042.6304,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2020,domestic_trips_thousand,9964.031,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2021,domestic_trips_thousand,4364.264,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2022,domestic_trips_thousand,16667.987,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2023,domestic_trips_thousand,20093.758,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2024,domestic_trips_thousand,24174.0,DTS 2024 state PDF (Table 1),as printed
Melaka,2017,avg_receipts_per_capita_rm,393.6022,DTS 2023 state XLSX (Table 1),exact
Melaka,2018,avg_receipts_per_capita_rm,423.9659,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2019,avg_receipts_per_capita_rm,455.6767,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2020,avg_receipts_per_capita_rm,326.1543,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2021,avg_receipts_per_capita_rm,258.9161,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2022,avg_receipts_per_capita_rm,411.8844,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2023,avg_receipts_per_capita_rm,413.8152,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2024,avg_receipts_per_capita_rm,415.0,DTS 2024 state PDF (Table 1),as printed
Melaka,2017,avg_receipts_per_trip_rm,247.6712,DTS 2023 state XLSX (Table 1),exact
Melaka,2018,avg_receipts_per_trip_rm,256.9253,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2019,avg_receipts_per_trip_rm,264.9416,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2020,avg_receipts_per_trip_rm,238.119,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2021,avg_receipts_per_trip_rm,230.0761,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2022,avg_receipts_per_trip_rm,290.5326,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2023,avg_receipts_per_trip_rm,320.4185,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2024,avg_receipts_per_trip_rm,328.0,DTS 2024 state PDF (Table 1),as printed
Melaka,2017,avg_length_of_stay_nights,2.6928,DTS 2023 state XLSX (Table 1),exact
Melaka,2018,avg_length_of_stay_nights,2.2328,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Melaka,2019,avg_length_of_stay_nights,2.2897,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
