state,component,receipts_rm_thousand_2023,receipts_rm_thousand_2024,share_pct_2023,share_pct_2024
W.P. Labuan,pre_trip_package_entrance_tickets,7204.0,13134.0,3.7,5.0
W.P. Labuan,other_activities,4344.0,8061.0,2.2,3.0
W.P. Labuan,expenditure_by_visited_households,11555.0,18267.0,6.0,6.9
W.P. Labuan,total_receipts,194064.0,264563.0,100.0,100.0
W.P. Putrajaya,expenditure_by_visitors,634332.0,882423.0,94.7,94.2
W.P. Putrajaya,shopping,238298.0,339217.0,35.6,36.2
W.P. Putrajaya,automotive_fuel,100711.0,130960.0,15.0,14.0
W.P. Putrajaya,transportation,67480.0,89987.0,10.1,9.6
W.P. Putrajaya,food_and_beverage,111623.0,179380.0,16.7,19.1
W.P. Putrajaya,accommodation,54150.0,64616.0,8.1,6.9
W.P. Putrajaya,pre_trip_package_entrance_tickets,31076.0,31291.0,4.6,3.3
W.P. Putrajaya,other_activities,30994.0,46971.0,4.6,5.0
W.P. Putrajaya,expenditure_by_visited_households,35397.0,54553.0,5.3,5.8
W.P. Putrajaya,total_receipts,669729.0,936976.0,100.0,100.0
