state,year,indicator,value
Pahang,2021,total_receipts_rm_million,914.0
Pahang,2022,total_receipts_rm_million,5317.0
Pahang,2023,total_receipts_rm_million,6733.0
Pahang,2024,total_receipts_rm_million,8710.0
Pahang,2018,domestic_visitors_thousand,18111.0
Pahang,2019,domestic_visitors_thousand,18498.0
Pahang,2020,domestic_visitors_thousand,9905.0
Pahang,2021,domestic_visitors_thousand,3405.0
Pahang,2022,domestic_visitors_thousand,13189.0
Pahang,2023,domestic_visitors_thousand,16456.0
Pahang,2024,domestic_visitors_thousand,20174.0
Pahang,2018,domestic_trips_thousand,21896.0
Pahang,2019,domestic_trips_thousand,22745.0
Pahang,2020,domestic_trips_thousand,10380.0
Pahang,2021,domestic_trips_thousand,3505.0
Pahang,2022,domestic_trips_thousand,14994.0
Pahang,2023,domestic_trips_thousand,17633.0
Pahang,2024,domestic_trips_thousand,22665.0
Pahang,2018,avg_receipts_per_capita_rm,409.0
Pahang,2019,avg_receipts_per_capita_rm,411.0
Pahang,2020,avg_receipts_per_capita_rm,277.0
Pahang,2021,avg_receipts_per_capita_rm,269.0
Pahang,2022,avg_receipts_per_capita_rm,403.0
Pahang,2023,avg_receipts_per_capita_rm,409.0
Pahang,2024,avg_receipts_per_capita_rm,432.0
Pahang,2018,avg_receipts_per_trip_rm,338.0
Pahang,2019,avg_receipts_per_trip_rm,334.0
Pahang,2020,avg_receipts_per_trip_rm,265.0
Pahang,2021,avg_receipts_per_trip_rm,261.0
Pahang,2022,avg_receipts_per_trip_rm,355.0
Pahang,2023,avg_receipts_per_trip_rm,382.0
Pahang,2024,avg_receipts_per_trip_rm,384.0
Pahang,2018,avg_length_of_stay_nights,2.46
Pahang,2019,avg_length_of_stay_nights,2.49
Pahang,2020,avg_length_of_stay_nights,1.93
Pahang,2021,avg_length_of_stay_nights,1.92
Pahang,2022,avg_length_of_stay_nights,2.11
Pahang,2023,avg_length_of_stay_nights,2.13
Pahang,2024,avg_length_of_stay_nights,2.17
Perak,2018,total_receipts_rm_million,6469.0
Perak,2019,total_receipts_rm_million,7824.0
Perak,2020,total_receipts_rm_million,3317.0
Perak,2021,total_receipts_rm_million,1160.0
Perak,2022,total_receipts_rm_million,4541.0
Perak,2023,total_receipts_rm_million,5641.0
Perak,2024,total_receipts_rm_million,7224.0
Perak,2018,domestic_visitors_thousand,17553.0
Perak,2019,domestic_visitors_thousand,21071.0
Perak,2020,domestic_visitors_thousand,13173.0
Perak,2021,domestic_visitors_thousand,4489.0
Perak,2022,domestic_visitors_thousand,14567.0
Perak,2023,domestic_visitors_thousand,17108.0
Perak,2024,domestic_visitors_thousand,21776.0
Perak,2018,domestic_trips_thousand,23651.0
Perak,2019,domestic_trips_thousand,28471.0
Perak,2020,domestic_trips_thousand,14046.0
Perak,2021,domestic_trips_thousand,4674.0
Perak,2022,domestic_trips_thousand,17680.0
Perak,2023,domestic_trips_thousand,18831.0
Perak,2024,domestic_trips_thousand,23904.0
Perak,2018,avg_receipts_per_capita_rm,369.0
Perak,2019,avg_receipts_per_capita_rm,371.0
Perak,2020,avg_receipts_per_capita_rm,252.0
Perak,2021,avg_receipts_per_capita_rm,258.0
Perak,2022,avg_receipts_per_capita_rm,312.0
Perak,2023,avg_receipts_per_capita_rm,330.0
Perak,2024,avg_receipts_per_capita_rm,332.0
Perak,2018,avg_receipts_per_trip_rm,273.0
Perak,2019,avg_receipts_per_trip_rm,275.0
Perak,2020,avg_receipts_per_trip_rm,236.0
Perak,2021,avg_receipts_per_trip_rm,248.0
Perak,2022,avg_receipts_per_trip_rm,257.0
Perak,2023,avg_receipts_per_trip_rm,300.0
Perak,2024,avg_receipts_per_trip_rm,302.0
Perak,2018,avg_length_of_stay_nights,1.85
Perak,2019,avg_length_of_stay_nights,2.21
Perak,2020,avg_length_of_stay_nights,1.85
Perak,2021,avg_length_of_stay_nights,2.29
Perak,2022,avg_length_of_stay_nights,2.43
Perak,2023,avg_length_of_stay_nights,2.35
Perak,2024,avg_length_of_stay_nights,2.35
Perlis,2018,total_receipts_rm_million,617.0
Perlis,2019,total_receipts_rm_million,579.0
Perlis,2020,total_receipts_rm_million,224.0
Perlis,2021,total_receipts_rm_million,78.0
Perlis,2022,total_receipts_rm_million,456.0
Perlis,2023,total_receipts_rm_million,584.0
Perlis,2024,total_receipts_rm_million,1003.0
Perlis,2018,domestic_visitors_thousand,2156.0
Perlis,2019,domestic_visitors_thousand,2087.0
Perlis,2020,domestic_visitors_thousand,1193.0
Perlis,2021,domestic_visitors_thousand,407.0
Perlis,2022,domestic_visitors_thousand,1669.0
Perlis,2023,domestic_visitors_thousand,1951.0
Perlis,2024,domestic_visitors_thousand,3225.0
Perlis,2018,domestic_trips_thousand,2816.0
Perlis,2019,domestic_trips_thousand,2695.0
Perlis,2020,domestic_trips_thousand,1247.0
Perlis,2021,domestic_trips_thousand,427.0
Perlis,2022,domestic_trips_thousand,1800.0
Perlis,2023,domestic_trips_thousand,2139.0
Perlis,2024,domestic_trips_thousand,3660.0
Perlis,2018,avg_receipts_per_capita_rm,286.0
Perlis,2019,avg_receipts_per_capita_rm,277.0
Perlis,2020,avg_receipts_per_capita_rm,188.0
Perlis,2021,avg_receipts_per_capita_rm,192.0
Perlis,2022,avg_receipts_per_capita_rm,273.0
Perlis,2023,avg_receipts_per_capita_rm,299.0
Perlis,2024,avg_receipts_per_capita_rm,311.0
Perlis,2018,avg_receipts_per_trip_rm,219.0
Perlis,2019,avg_receipts_per_trip_rm,215.0
Perlis,2020,avg_receipts_per_trip_rm,180.0
Perlis,2021,avg_receipts_per_trip_rm,183.0
Perlis,2022,avg_receipts_per_trip_rm,253.0
Perlis,2023,avg_receipts_per_trip_rm,273.0
