state,table,field,pdf_parser_value,xlsx_published_value,compared_at_dp,agree
Negeri Sembilan,table_7,total_receipts:receipts,4777281.0,4777281.25500884,0,True
Negeri Sembilan,table_7,total_receipts:share,100.0,100,1,True
Negeri Sembilan,table_13_income,"≤RM1,000",3.2,3.2,1,True
Negeri Sembilan,table_13_income,"RM1,001-3,000",25.1,25.1,1,True
Negeri Sembilan,table_13_income,"RM3,001-5,000",25.4,25.4,1,True
Negeri Sembilan,table_13_income,"RM5,001-10,000",34.2,34.2,1,True
Negeri Sembilan,table_13_income,"≥RM10,001",12.1,12.1,1,True
Negeri Sembilan,table_12_accom,relatives_friends_house,66.0,66,1,True
Negeri Sembilan,table_12_accom,hotel,22.9,22.9,1,True
Negeri Sembilan,table_12_accom,chalet,1.4,1.4,1,True
Negeri Sembilan,table_12_accom,apartment,4.5,4.5,1,True
Negeri Sembilan,table_12_accom,homestay_vacation_home,3.2,3.2,1,True
Negeri Sembilan,table_12_accom,rest_house,2.0,2,1,True
Pahang,table_1,total_receipts_rm_million,6733.0,6733.34364809185,0,True
Pahang,table_1,domestic_visitors_thousand,16456.0,16455.567,0,True
Pahang,table_1,domestic_trips_thousand,17633.0,17632.756,0,True
Pahang,table_1,avg_receipts_per_capita_rm,409.0,409.183326718055,0,True
Pahang,table_1,avg_receipts_per_trip_rm,382.0,381.865639613674,0,True
Pahang,table_1,avg_length_of_stay_nights,2.13,2.12715370546925,2,True
Pahang,table_7,expenditure_by_visitors:receipts,6012923.0,6012922.92668198,0,True
Pahang,table_7,expenditure_by_visitors:share,89.3,89.3006987455033,1,True
Pahang,table_7,shopping:receipts,1943890.0,1943889.89991263,0,True
Pahang,table_7,shopping:share,28.9,28.8696077536976,1,True
Pahang,table_7,automotive_fuel:receipts,949299.0,949299.473327736,0,True
Pahang,table_7,automotive_fuel:share,14.1,14.0984854322229,1,True
Pahang,table_7,transportation:receipts,384026.0,384025.507392681,0,True
Pahang,table_7,transportation:share,5.7,5.70334038277564,1,True
Pahang,table_7,food_and_beverage:receipts,989218.0,989217.543457992,0,True
Pahang,table_7,food_and_beverage:share,14.7,14.6913271497486,1,True
Pahang,table_7,accommodation:receipts,1000261.0,1000261.10033221,0,True
Pahang,table_7,accommodation:share,14.9,14.8553401194022,1,True
Pahang,table_7,pre_trip_package_entrance_tickets:receipts,366394.0,366394.410327847,0,True
Pahang,table_7,pre_trip_package_entrance_tickets:share,5.4,5.44149280768818,1,True
Pahang,table_7,other_activities:receipts,379835.0,379834.991930887,0,True
Pahang,table_7,other_activities:share,5.6,5.64110509996809,1,True
Pahang,table_7,expenditure_by_visited_households:receipts,720421.0,720420.721409866,0,True
Pahang,table_7,expenditure_by_visited_households:share,10.7,10.6993012544967,1,True
Pahang,table_7,total_receipts:receipts,6733344.0,6733343.64809185,0,True
Pahang,table_7,total_receipts:share,100.0,100,1,True
Pahang,table_13_income,"≤RM1,000",3.5,3.5,1,True
Pahang,table_13_income,"RM1,001-3,000",22.4,22.4,1,True
Pahang,table_13_income,"RM3,001-5,000",27.5,27.5,1,True
Pahang,table_13_income,"RM5,001-10,000",33.6,33.6,1,True
Pahang,table_13_income,"≥RM10,001",13.0,13,1,True
Pahang,table_12_accom,relatives_friends_house,54.8,54.8,1,True
Pahang,table_12_accom,hotel,27.3,27.3,1,True
Pahang,table_12_accom,chalet,2.6,2.6,1,True
Pahang,table_12_accom,apartment,7.3,7.3,1,True
Pahang,table_12_accom,homestay_vacation_home,6.7,6.7,1,True
Pahang,table_12_accom,rest_house,1.3,1.3,1,True
Perak,table_1,total_receipts_rm_million,5641.0,5641.02361320425,0,True
Perak,table_1,domestic_visitors_thousand,17108.0,17107.518,0,True
Perak,table_1,domestic_trips_thousand,18831.0,18831.264,0,True
Perak,table_1,avg_receipts_per_capita_rm,330.0,329.739452163911,0,True
Perak,table_1,avg_receipts_per_trip_rm,300.0,299.556291771187,0,True
Perak,table_1,avg_length_of_stay_nights,2.35,2.3457677558445,2,True
Perak,table_7,expenditure_by_visitors:receipts,5060248.0,5060248.10049208,0,True
Perak,table_7,expenditure_by_visitors:share,89.7,89.7044303918048,1,True
Perak,table_7,shopping:receipts,1660659.0,1660658.87334551,0,True
Perak,table_7,shopping:share,29.4,29.4389633374041,1,True
Perak,table_7,automotive_fuel:receipts,936541.0,936540.808873401,0,True
Perak,table_7,automotive_fuel:share,16.6,16.6023203072788,1,True
Perak,table_7,transportation:receipts,349674.0,349673.882914509,0,True
Perak,table_7,transportation:share,6.2,6.19876651634658,1,True
Perak,table_7,food_and_beverage:receipts,1089592.0,1089591.99085944,0,True
Perak,table_7,food_and_beverage:share,19.3,19.3155013269041,1,True
Perak,table_7,accommodation:receipts,659307.0,659306.842306806,0,True
Perak,table_7,accommodation:share,11.7,11.687716406,1,True
Perak,table_7,pre_trip_package_entrance_tickets:receipts,174448.0,174448.146076146,0,True
Perak,table_7,pre_trip_package_entrance_tickets:share,3.1,3.09249097393965,1,True
Perak,table_7,other_activities:receipts,190028.0,190027.556116268,0,True
Perak,table_7,other_activities:share,3.4,3.36867152393158,1,True
Perak,table_7,expenditure_by_visited_households:receipts,580776.0,580775.512712171,0,True
Perak,table_7,expenditure_by_visited_households:share,10.3,10.2955696081952,1,True
Perak,table_7,total_receipts:receipts,5641024.0,5641023.61320425,0,True
Perak,table_7,total_receipts:share,100.0,100,1,True
Perak,table_13_income,"≤RM1,000",4.9,4.9,1,True
Perak,table_13_income,"RM1,001-3,000",32.5,32.5,1,True
Perak,table_13_income,"RM3,001-5,000",26.0,26,1,True
Perak,table_13_income,"RM5,001-10,000",29.5,29.5,1,True
Perak,table_13_income,"≥RM10,001",7.1,7.1,1,True
Perak,table_12_accom,relatives_friends_house,71.1,71.1,1,True
Perak,table_12_accom,hotel,16.5,16.5,1,True
Perak,table_12_accom,chalet,3.3,3.3,1,True
Perak,table_12_accom,apartment,2.2,2.2,1,True
Perak,table_12_accom,homestay_vacation_home,6.0,6,1,True
Perak,table_12_accom,rest_house,0.9,0.9,1,True
Perlis,table_1,total_receipts_rm_million,584.0,583.870113407444,0,True
Perlis,table_1,domestic_visitors_thousand,1951.0,1950.771,0,True
Perlis,table_1,domestic_trips_thousand,2139.0,2139.229,0,True
Perlis,table_1,avg_receipts_per_capita_rm,299.0,299.302231480499,0,True
Perlis,table_1,avg_receipts_per_trip_rm,273.0,272.934834656525,0,True
Perlis,table_1,avg_length_of_stay_nights,2.21,2.20641466269676,2,True
Perlis,table_7,expenditure_by_visitors:receipts,516473.0,516472.780718456,0,True
Perlis,table_7,expenditure_by_visitors:share,88.5,88.4567935331269,1,True
Perlis,table_7,shopping:receipts,159277.0,159277.385935329,0,True
Perlis,table_7,shopping:share,27.3,27.2795922034427,1,True
Perlis,table_7,automotive_fuel:receipts,104736.0,104735.704010926,0,True
Perlis,table_7,automotive_fuel:share,17.9,17.9381854980883,1,True
Perlis,table_7,transportation:receipts,43644.0,43644.3533100298,0,True
Perlis,table_7,transportation:share,7.5,7.47501067580305,1,True
Perlis,table_7,food_and_beverage:receipts,104970.0,104970.113421612,0,True
Perlis,table_7,food_and_beverage:share,18.0,17.9783330249617,1,True
Perlis,table_7,accommodation:receipts,72931.0,72931.1498448316,0,True
Perlis,table_7,accommodation:share,12.5,12.4909886925378,1,True
Perlis,table_7,pre_trip_package_entrance_tickets:receipts,8131.0,8131.40199518186,0,True
Perlis,table_7,pre_trip_package_entrance_tickets:share,1.4,1.39267309774212,1,True
Perlis,table_7,other_activities:receipts,22783.0,22782.6722005461,0,True
Perlis,table_7,other_activities:share,3.9,3.90201034055114,1,True
Perlis,table_7,expenditure_by_visited_households:receipts,67397.0,67397.3326889874,0,True
Perlis,table_7,expenditure_by_visited_households:share,11.5,11.5432064668731,1,True
Perlis,table_7,total_receipts:receipts,583870.0,583870.113407444,0,True
Perlis,table_7,total_receipts:share,100.0,100,1,True
Perlis,table_13_income,"≤RM1,000",4.3,4.3,1,True
Perlis,table_13_income,"RM1,001-3,000",31.0,31,1,True
Perlis,table_13_income,"RM3,001-5,000",27.6,27.6,1,True
Perlis,table_13_income,"RM5,001-10,000",28.5,28.5,1,True
Perlis,table_13_income,"≥RM10,001",8.6,8.6,1,True
Perlis,table_12_accom,relatives_friends_house,67.2,67.2,1,True
Perlis,table_12_accom,hotel,12.8,12.8,1,True
Perlis,table_12_accom,chalet,0.9,0.9,1,True
Perlis,table_12_accom,apartment,0.4,0.4,1,True
Perlis,table_12_accom,homestay_vacation_home,15.0,15,1,True
Perlis,table_12_accom,rest_house,3.7,3.7,1,True
Pulau Pinang,table_1,total_receipts_rm_million,5815.0,5814.73535455749,0,True
Pulau Pinang,table_1,domestic_visitors_thousand,13128.0,13127.587,0,True
Pulau Pinang,table_1,domestic_trips_thousand,15351.0,15350.976,0,True
Pulau Pinang,table_1,avg_receipts_per_capita_rm,443.0,442.940149972534,0,True
Pulau Pinang,table_1,avg_receipts_per_trip_rm,379.0,378.78603644208,0,True
Pulau Pinang,table_1,avg_length_of_stay_nights,2.4,2.40032874269824,2,True
Pulau Pinang,table_7,expenditure_by_visitors:receipts,5576867.0,5576866.78168176,0,True
Pulau Pinang,table_7,expenditure_by_visitors:share,95.9,95.9092106799102,1,True
Pulau Pinang,table_7,shopping:receipts,2431318.0,2431317.84631172,0,True
Pulau Pinang,table_7,shopping:share,41.8,41.8130438972789,1,True
Pulau Pinang,table_7,automotive_fuel:receipts,599680.0,599680.311549777,0,True
Pulau Pinang,table_7,automotive_fuel:share,10.3,10.3131144408792,1,True
Pulau Pinang,table_7,transportation:receipts,355326.0,355325.529703793,0,True
Pulau Pinang,table_7,transportation:share,6.1,6.11077732755791,1,True
Pulau Pinang,table_7,food_and_beverage:receipts,983682.0,983682.4234367,0,True
Pulau Pinang,table_7,food_and_beverage:share,16.9,16.9170626598802,1,True
Pulau Pinang,table_7,accommodation:receipts,714831.0,714830.950219477,0,True
Pulau Pinang,table_7,accommodation:share,12.3,12.2934391099881,1,True
Pulau Pinang,table_7,pre_trip_package_entrance_tickets:receipts,242333.0,242332.697872591,0,True
Pulau Pinang,table_7,pre_trip_package_entrance_tickets:share,4.2,4.16756194557771,1,True
Pulau Pinang,table_7,other_activities:receipts,249697.0,249697.022587706,0,True
Pulau Pinang,table_7,other_activities:share,4.3,4.29421129874807,1,True
Pulau Pinang,table_7,expenditure_by_visited_households:receipts,237869.0,237868.572875722,0,True
Pulau Pinang,table_7,expenditure_by_visited_households:share,4.1,4.09078932008978,1,True
Pulau Pinang,table_7,total_receipts:receipts,5814735.0,5814735.35455749,0,True
Pulau Pinang,table_7,total_receipts:share,100.0,100,1,True
Pulau Pinang,table_13_income,"≤RM1,000",4.6,4.6,1,True
Pulau Pinang,table_13_income,"RM1,001-3,000",21.6,21.6,1,True
Pulau Pinang,table_13_income,"RM3,001-5,000",24.6,24.6,1,True
Pulau Pinang,table_13_income,"RM5,001-10,000",35.3,35.3,1,True
Pulau Pinang,table_13_income,"≥RM10,001",13.9,13.9,1,True
Pulau Pinang,table_12_accom,relatives_friends_house,41.7,41.7,1,True
Pulau Pinang,table_12_accom,hotel,43.7,43.7,1,True
Pulau Pinang,table_12_accom,chalet,0.4,0.4,1,True
Pulau Pinang,table_12_accom,apartment,8.0,8,1,True
Pulau Pinang,table_12_accom,homestay_vacation_home,4.4,4.4,1,True
Pulau Pinang,table_12_accom,rest_house,1.8,1.8,1,True
Sabah,table_1,total_receipts_rm_million,6713.0,6712.51460553787,0,True
Sabah,table_1,domestic_visitors_thousand,16080.0,16080.074,0,True
Sabah,table_1,domestic_trips_thousand,19900.0,19900.312,0,True
Sabah,table_1,avg_receipts_per_capita_rm,417.0,417.443017086729,0,True
Sabah,table_1,avg_receipts_per_trip_rm,337.0,337.307003304163,0,True
Sabah,table_1,avg_length_of_stay_nights,2.67,2.67140939347793,2,True
